Method,A_hit_g,D_spatial_g_px,A_hit_p,D_spatial_p_px,A_joint
E1-GPT-5 (Free-coordinate),0.34237995824634654,46.29877589291471,0.7850467289719626,10.032481942221382,0.4232081911262799
E1-GPT-4o (Free-coordinate),0.605427974947808,30.02150736992329,0.794392523364486,8.553704738616943,0.6399317406143344
E2-Qwen3-VL-Plus (Trained),0.7849686847599165,29.90083446283679,0.897196261682243,10.766732362943275,0.8054607508532423
E2-Qwen3-VL-Flash (Trained),0.7369519832985386,28.633967476000617,0.8440366972477065,21.677607919568214,0.7568027210884354
"E3-GPT-5 (SVP-Full, Ours)",0.8766666666666667,14.56364274747444,0.9850746268656716,0.014925373134328358,0.896457765667575
"E3-GPT-4o (SVP-Full, Ours)",0.7083333333333334,21.512927676337995,0.7757009345794392,2.202219393907809,0.7206132879045997
