Method,InstrMatch,TrajSucc,ActAcc,CoordHit,JointSucc,AvgDev_px
E1-GPT-5 (Free-coordinate),1.0,0.3277661795407098,1.0,0.4232081911262799,0.7952755905511811,39.676773413863195
E1-GPT-4o (Free-coordinate),1.0,0.5949895615866388,1.0,0.6399317406143344,0.872198667474258,26.050387252312877
E2-Qwen3-VL-Plus (Trained Coord),1.0,0.7703549060542797,1.0,0.8054607508532423,0.9309509388249546,26.407064966781146
E2-Qwen3-VL-Flash (Trained Coord),1.0,0.7160751565762005,0.9945619335347432,0.7538200339558574,0.9099697885196375,28.023530113879204
"E3-GPT-5 (SVP-Full, Ours)",1.0,0.8733333333333333,1.0,0.896457765667575,0.9632495164410058,11.788561024522911
"E3-GPT-4o (SVP-Full, Ours)",1.0,0.6722338204592901,0.9927536231884058,0.7206132879045997,0.8943236714975845,17.204531825583878
